"Startup","Industria","Descripci?n","Founder 1","Role F1","LinkedIn CEO","Founder 2","Role F2","Etapa","LinkedIn startup","Website","Notes"
"SalesAssist","Productividad","Plataforma para CRMs para el sector de dealers de veh?culos que los habilita a automatizar los procesos de venta.","Maximo Castro","CTO","https://www.linkedin.com/in/maximo-castro-pou/","Jow P?rez","CCO","Pre-Semilla","https://www.linkedin.com/company/getsalesassist/","https://www.salesassist.io/",""
"Kiwi","Fintech","Plataforma para la construcci?n de cr?ditos para latinos en Estados Unidos. Utiliza m?todos alternativos para apoyarles en acceder a capital y construir cr?dito.","Mariano Sanz","CEO","https://www.linkedin.com/in/mariano-sanz-cfa-a5b40465/","Alexander Schachter","President","Serie A","https://www.linkedin.com/company/kiwi-credito/","https://www.kiwicredito.com/",""
"Ditch","Fintech","Ditch es una aplicaci?n de bienestar financiero impulsada por IA que ayuda a los usuarios a tomar el control de sus deudas","Luis Andino","CEO","https://www.linkedin.com/in/luisoscarandino/","","","Semilla","https://www.linkedin.com/company/ditchtechnologies/","https://www.ditch.io/",""
"YOFIO","Fintech","Pr?stamos en Micro Puntos de Venta para digitalizar la forma en que los colmados (tiendas de barrio) de LatAm y sus clientes no bancarizados transaccionan.","Alberto Bonetti","CEO","https://www.linkedin.com/in/bonettialberto/","","","Semilla","https://www.linkedin.com/company/yosoyrd/","",""
"Aplazo","Fintech","Una empresa de 'Compra ahora, paga despu?s' (BNPL) con la misi?n de desbloquear el acceso financiero, la libertad y las oportunidades para cada mexicano","Angel Pe?a","CEO","https://www.linkedin.com/in/angel-pe%C3%B1a-9b79169b/","Alex Wieland","CRO","Serie B","","",""
"Rilla","Productividad","Rillavoice es el software de an?lisis de voz l?der para ventas cara a cara ","Sebastian Jim?nez","CEO","https://www.linkedin.com/in/sebastian-jimenez-690149149/","","","Serie B","https://www.linkedin.com/company/rilla-co/","https://www.rilla.com/",""
"Pana","Fintech","App bancaria y remesas para hispanos en los Estados Unidos.","Piero Del Risco","CEO","https://www.linkedin.com/in/yanpieronunez/","","","Semilla","https://www.linkedin.com/company/panaapp/","https://joinpana.com/",""
"CAPA","Fintech","Herramienta para conectar la moneda local con cualquier billetera cripto.","Juan Diego Oliva","CEO","https://www.linkedin.com/in/olivajd/","","","Pre-Semilla","https://www.linkedin.com/company/capafi/","https://capa.fi/",""
"Ualett","Fintech","Ualett es una soluci?n de aplicaci?n m?vil l?der que ofrece adelantos de efectivo en l?nea a trabajadores independientes en los Estados Unidos.","Ricky Michel Presbot","CEO","https://www.linkedin.com/in/ricky-michel-presbot-14964472/","","","Semilla","https://www.linkedin.com/company/ualett/","https://ualett.com/",""
"LendingPoint","Fintech","LendingPoint es una plataforma de tecnolog?a financiera que ofrece soluciones de financiamiento a una amplia gama de clientes, incluyendo socios de comercio electr?nico y puntos de venta, instituciones crediticias y consumidores. Los algoritmos patentados de la empresa para la prevenci?n de fraudes, riesgos y gesti?n de activos se utilizan para crear oportunidades de financiamiento en todo el espectro crediticio.","Juan E. Tavares","Chief Strategy Officer","https://www.linkedin.com/in/juan-e-tavares-534201aa/","","","Serie C+","https://www.linkedin.com/company/lendingpoint/","https://www.lendingpoint.com/",""
"Cleon","AI","Agentes de inteligencia artificial dise?ados para comprender el ADN de tu marca hotelera, tus procesos operativos y la importancia de la experiencia del hu?sped en cada una de tus propiedades. Desde el primer punto de contacto hasta la retroalimentaci?n posterior al check-out, Cleon acompa?a todo el recorrido del hu?sped, capturando se?ales clave que se transforman en acciones para mejorar continuamente la experiencia.","Ricardo Pantaleon","Co-Founder & CEO","https://www.linkedin.com/in/ricardo-pantale%C3%B3n-9b6959135/","Alexandros Zisimidis","Co-Founder","Pre-Semilla","https://www.linkedin.com/company/cleon-ai/","https://getcleon.ai/",""
