"Startup","Industria","Descripción","Founder 1","Role F1","LinkedIn CEO","Founder 2","Role F2","Etapa","LinkedIn startup","Website","Notes"
"Nearby","Proptech","CRM para gestión de desarrollo inmobiliario","Eliezer Colmenares","CEO","https://www.linkedin.com/in/ecolmenares/","Johanny Strauss","CFO","Semilla","https://www.linkedin.com/company/nearbyproptech/","https://nearbycrm.com/",""
"Alterstate","Proptech","CRM para agentes inmobiliarios ","Michael Mota","CEO","https://www.linkedin.com/in/michaelmotam/","","","Semilla","https://www.linkedin.com/company/alterestate/","https://alterestate.com/","Opera full en República Dominicana; entrando a Colombia y México"
"Botcity","AI","Chatbots para agilizar la gestión de pedidos en la industria gastronómica","Santiago Infante","CEO","https://www.linkedin.com/in/santiagoinfante/","","","Pre-Semilla","https://www.linkedin.com/company/botcity-dominicana/","https://botcity.com.do/",""
"Tagshelf","AI","Startup de inteligencia artificial generativa con foco en la reducción de fraudeas, automatización de procesos, conciliación y auditorías para las aseguradoras de salud","Raúl Roa","CTO","https://www.linkedin.com/in/raulroa/","Javier Gómez","COO","Semilla","https://www.linkedin.com/company/tagshelf/","https://tagshelf.com/",""
"Flai Logistics","LogTech","Plataforma basada en inteligencia artificial y generativa para conectar empresas con proveedores de transporte terrestre de carga, facilitar la entrega a clientes finales y optimizar las operaciones logísticas.","Angel Terrero
","CEO","https://www.linkedin.com/in/aterrero/","Carlos Guillermo Flaquer","CCO","Semilla","https://www.linkedin.com/company/flailogistics","flai.com.do",""
"Bohiio","Proptech","Plataforma para verificación de inmuebles ","Hamlet Minaya","CEO","https://www.linkedin.com/in/hamlet-minaya-84a099231/","Enmanuel Medina","CTO","Pre-Semilla","","https://www.bohiio.com/",""
"Buenvio","LogTech","Plataforma para la gestión de envíos de punta a punta","Marcel Martinez","CEO","","","","Sin información","https://www.linkedin.com/company/buenv%C3%ADo/","https://www.buenvio.com/",""
"MIO","Fintech","Ecosistema de cobros y pagos con más de 220,000 usuarios y una alianza con el Banco de Reservas, así como la digitalización de más de 220,000 beneficiarios de ayuda social del Gobierno Nacional y complementado con más de 15,000 Mipymes que ahora gracias a MIO comenzaron a aceptar pagos con tarjeta.","Christian Pichardo","CEO","https://www.linkedin.com/in/christianapichardoa/","","","Semilla","https://www.linkedin.com/company/somosmio/","https://www.mio.com.do/",""
"Zami","Productividad","Contact center de Whatsapp","Luis Del Giudice","CEO","https://www.linkedin.com/in/luis-del-giudice/","","","Semilla","https://www.linkedin.com/company/zamiapp/","https://www.zamiapp.com/",""
"Kanvas","Productividad","Sistema de automatización de ventas para comercio electrónico","Maximo Castro","CEO","https://www.linkedin.com/in/maximo-castro-pou/","Jessica Gómez","Product","Pre-Semilla","https://www.linkedin.com/company/kanvasdev/","https://kanvas.dev/",""
"Speedy","LogTech","plataforma tecnológica enfocada en Last-Mile Delivery (logística de última milla) y Pickup","Jesus Alcantara Alcantara","CEO","https://www.linkedin.com/in/jesus-alcantara-alcantara-9b2a762a/","","","Sin información","https://www.linkedin.com/company/speedy-deliverypickup/","https://speedy.com.do/",""
"Uworktify","Movilidad","Uworktify es una plataforma de servicios de movilidad diseñada para ofrecer flexibilidad y oportunidades económicas a trabajadores independientes.","Aldo Victoria","CEO","","","","Pre-Semilla","https://www.linkedin.com/company/uworktify/","uworktify.com",""
"CXgenies","Business Intelligence","Plataforma impulsada por Inteligencia Artificial diseñada para revolucionar la gestión de la Experiencia del Cliente (CX).","Rainier Mallol","CEO","https://www.linkedin.com/in/rainiermallol/","","","Pre-Semilla","https://www.linkedin.com/company/cxgenies/","https://cxgenies.com/",""
"Madison","SaaS","Software de facturación, inventario y contabilidad para PYMES y Freelancers en América Latina.","Pavel Pichardo","CEO","https://www.linkedin.com/in/pavelpichardo/","","","Sin información","https://www.linkedin.com/in/pavelpichardo/","https://madisonpos.com/",""
"Mobiliapp","Proptech","Herramienta digital web y app para mostrar y buscar activos inmobiliarios de forma amplia y asequible, resaltando los atributos de su entorno en tiempo real, y donde puedes hacer la precalificación de un préstamo hipotecario.","Rafael Paredes","CEO","https://www.linkedin.com/in/rafael-paredes-7670b815a/","","","Sin información","https://www.linkedin.com/company/mobiliapp/","https://www.mobiliapp.com/",""
